"","X","bo_year_rank","worldwidegross","domesticgross","overseasgross","runtimeMinutes","averageRating","numVotes","Hcluster","km.cluster","numVotes_sq","bo_and_num"
"75",230,19,242900000,116800000,126100000,110,7.1,231691,"3","7",53680719481,4402129
"76",231,19,220400000,173400000,47000000,97,6.9,193462,"3","7",37427545444,3675778
"77",234,19,2.02e+08,110300000,91700000,90,6.1,126471,"4","4",15994913841,2402949
"78",235,19,2.05e+08,118700000,86300000,106,5.8,118561,"4","4",14056710721,2252659
"79",237,19,321700000,105300000,216400000,140,6.6,241610,"3","7",58375392100,4590590
"80",238,19,396600000,155300000,241300000,127,6.1,261251,"3","7",68252085001,4963769
"81",239,19,3.73e+08,83400000,289700000,92,6.7,73560,"3","7",5411073600,1397640
"82",240,19,3.62e+08,112200000,249800000,100,5.8,274965,"3","7",75605751225,5224335
"83",242,20,255100000,175000000,80100000,116,7,147553,"3","7",21771887809,2951060
"84",243,20,212700000,106800000,105900000,109,6.2,172490,"4","7",29752800100,3449800
"85",245,20,2.58e+08,140100000,117900000,91,6.2,143549,"3","7",20606315401,2870980
"86",246,20,217800000,101000000,116800000,120,7.5,338665,"3","6",114693982225,6773300
"87",247,20,198600000,113100000,85600000,95,5.6,81615,"4","4",6661008225,1632300
"88",248,20,197300000,85100000,112200000,86,6.1,80066,"4","4",6410564356,1601320
"89",249,20,299300000,85500000,213800000,127,7.1,285450,"3","7",81481702500,5709000
"90",250,20,319700000,131800000,187900000,103,4.1,139152,"3","7",19363279104,2783040
"91",251,20,317400000,164000000,153400000,108,6.7,276211,"3","7",76292516521,5524220
"92",252,20,376100000,139900000,236300000,92,6.2,275787,"3","7",76058469369,5515740
"93",254,21,207500000,124100000,83400000,147,7.6,187493,"3","2",35153625049,3937353
"94",255,21,207700000,116900000,90800000,117,6,132481,"4","7",17551215361,2782101
"95",256,21,209200000,93100000,116000000,124,7.2,234207,"3","2",54852918849,4918347
"96",257,21,184400000,88500000,95900000,129,7.6,316793,"3","6",100357804849,6652653
"97",258,21,253600000,168300000,85400000,100,5.8,109995,"3","7",12098900025,2309895
"98",260,21,358400000,148300000,210100000,91,7.1,207367,"3","7",43001072689,4354707
"99",261,21,309200000,256000000,53200000,129,7.6,271025,"2","7",73454550625,5691525
"100",262,21,310700000,148400000,162200000,98,5.5,100358,"3","7",10071728164,2107518
"101",263,21,288400000,169100000,119300000,125,6.8,252528,"3","7",63770390784,5303088
"102",264,21,4.35e+08,174300000,260700000,105,7.6,205688,"2","7",42307553344,4319448
